"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.9241333007813","99.966064453125","99.9903564453125","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Africa Eastern and Southern","AFE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.5982008661557","53.1965384602742","55.3390329277599","56.3034760135244","57.0232382689171","58.1505238981035","58.7879108802774","60.8410995032168","59.0811217585484","61.4102723456832","63.0866942454594","66.0345031995136","66.7187412791239","66.9585998457052","66.0287951501836","67.1693975678267","69.1156725458505","70.9470358996273","71.8169384248205","72.9558440831329","74.3771181846498","75.8419966667537","76.2770144157384","80.6495589479192","80.0492740496487","",
"Afghanistan","AFG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.4","74.8","76.1","77.5","78.8","74","81.6","83","89.9","85.9","82.8","86.6","95","92.2","98.7","92.5","99.5","99.5","98.8","99.5","99.5","99.5","95.9","96","97","",
"Africa Western and Central","AFW","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.2971404330408","77.2592734754187","77.0817879531929","74.8253472313771","74.2432019676355","74.7934856262398","74.5747397474155","73.1673617899754","73.7860450937069","73.7970513760214","74.8266858591573","74.6476547183827","75.2552418981252","75.9715903441551","77.40941073054","76.7176333404663","76.5802509072028","74.7157325211482","80.1232503396511","79.4175823038628","79.2518408279826","80.2408492443253","78.4873861749876","81.9386893658641","82.8494141888898","80.3079833068358","82.6784389750083","83.2437168402274","86.6860388718378","86.7793773833545","84.8040438550224","85.8938427493386","",
"Angola","AGO","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.9","30","47.7","49","50.4","51.8","53.3","66.1","61.3","57.7","73.6","82.5","70.3","68.6","51","64","67.9","69.4","65.3","72.2","73.6","75","76.2","77.9","78","",
"Albania","ALB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","96.1","96.3","96.6","96.8","97.1","97.4","97.7","98","98.3","98.7","99.1","99.5","99.9","99.9","100","100","100","100","100","100","100","100","100","100","100","",
"Andorra","AND","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.16976359387","94.2093846665409","94.259311955628","94.4895983832777","94.670523631844","94.5969243125681","95.4175335604356","94.9987159567081","94.3647907610276","95.0324671578079","96.8920358260721","97.0653078449901","97.0688822843378","97.3334715778354","97.3107690162282","97.1641979505909","97.3085802293717","97.3733649794418","96.9339397365112","97.406238529904","97.4737649991652","97.525178378762","97.865546338499","98.1464688805601","97.9513566665397","",
"United Arab Emirates","ARE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Argentina","ARG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.1390151977539","94.4131164550781","94.6866989135742","94.9571228027344","95.2212295532227","95.4758529663086","95.7178421020508","95.9440383911133","96.1512680053711","96.3380737304688","96.2","96.3","96.5","96.7","96.9","97.1","97.3","97.6","97.9","98.2","98.8","99.2","99.4","99.7","100","99.9","100","100","100","100","100","100","100","100","100","",
"Armenia","ARM","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.1","99.3","99.2","99.2","99.2","99.9","99.2","99.3","99.4","99.4","99.7","99.6","99.7","99.4","99.7","100","99.8","99.8","99.9","100","100","99.9","100","100","100","",
"American Samoa","ASM","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","99.9","99.9","100","100","100","100","99.9","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Australia","AUS","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
